,,5K sample rates,,,10K smple rates,,,20K smple rates,,,3.75K sample rates,,
Seq,AFE_CTR[3:0],FS/pA,1LSB(raw),1LSB,FS/pA,1LSB(raw),1LSB,FS/pA,1LSB(raw),1LSB,FS/pA,1LSB(raw),1LSB
0,0,1562.5,0.069766923,0.260925293,3125,0.139534371,0.521850586,6250,0.279068743,1.043701172,1171.875,0.052325389,0.19569397
1,1,1250,0.055813749,0.208740234,2500,0.111627497,0.417480469,5000,0.223254994,0.834960938,937.5,0.041860311,0.156555176
2,10,625,0.027906874,0.104370117,1250,0.055813749,0.208740234,2500,0.111627497,0.417480469,468.75,0.020930156,0.078277588
3,11,312.5,0.013953437,0.052185059,625,0.027906874,0.104370117,1250,0.055813749,0.208740234,234.375,0.010465078,0.039138794
4,100,781.25,0.034883593,0.130462646,1562.5,0.069767186,0.260925293,3125,0.139534371,0.521850586,585.9375,0.026162695,0.097846985
5,101,625,0.027906874,0.104370117,1250,0.055813749,0.208740234,2500,0.111627497,0.417480469,468.75,0.020930156,0.078277588
6,110,312.5,0.013953437,0.052185059,625,0.027906874,0.104370117,1250,0.055813749,0.208740234,234.375,0.010465078,0.039138794
7,111,156.25,0.006976719,0.026092529,312.5,0.013953437,0.052185059,625,0.027906874,0.104370117,117.1875,0.005232539,0.019569397
8,1000,625,0.027906874,0.104370117,1250,0.055813749,0.208740234,2500,0.111627497,0.417480469,468.75,0.020930156,0.078277588
9,1001,500,0.022325499,0.083496094,1000,0.044650999,0.166992188,2000,0.089301998,0.333984375,375,0.016744125,0.06262207
10,1010,250,0.01116275,0.041748047,500,0.022325499,0.083496094,1000,0.044650999,0.166992188,187.5,0.008372062,0.031311035
11,1011,125,0.005581375,0.020874023,250,0.01116275,0.041748047,500,0.022325499,0.083496094,93.75,0.004186031,0.015655518
12,1100,312.5,0.013953437,0.052185059,625,0.027906874,0.104370117,1250,0.055813749,0.208740234,234.375,0.010465078,0.039138794
13,1101,250,0.01116275,0.041748047,500,0.022325499,0.083496094,1000,0.044650999,0.166992188,187.5,0.008372062,0.031311035
14,1110,125,0.005581375,0.020874023,250,0.01116275,0.041748047,500,0.022325499,0.083496094,93.75,0.004186031,0.015655518
15,1111,62.5,0.002790687,0.010437012,125,0.005581375,0.020874023,250,0.01116275,0.041748047,46.875,0.002093016,0.007827759
